Country Name,Country Code,Region,IncomeGroup,Year,Tourists
Aruba,ABW,Latin America & Caribbean,High income,1995,912000.0
Angola,AGO,Sub-Saharan Africa,Lower middle income,1995,9000.0
Albania,ALB,Europe & Central Asia,Upper middle income,1995,304000.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,1995,2289000.0
Armenia,ARM,Europe & Central Asia,Upper middle income,1995,12000.0
American Samoa,ASM,East Asia & Pacific,High income,1995,34000.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1995,447000.0
Australia,AUS,East Asia & Pacific,High income,1995,3726000.0
Austria,AUT,Europe & Central Asia,High income,1995,17173000.0
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1995,93000.0
Burundi,BDI,Sub-Saharan Africa,Low income,1995,34000.0
Belgium,BEL,Europe & Central Asia,High income,1995,5560000.0
Benin,BEN,Sub-Saharan Africa,Lower middle income,1995,580000.0
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1995,124000.0
Bangladesh,BGD,South Asia,Lower middle income,1995,156000.0
Bulgaria,BGR,Europe & Central Asia,High income,1995,8005000.0
Bahrain,BHR,Middle East & North Africa,High income,1995,2311000.0
"Bahamas, The",BHS,Latin America & Caribbean,High income,1995,3239000.0
Belize,BLZ,Latin America & Caribbean,Upper middle income,1995,342000.0
Bermuda,BMU,North America,High income,1995,557000.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1995,284000.0
Brazil,BRA,Latin America & Caribbean,Upper middle income,1995,1991000.0
Barbados,BRB,Latin America & Caribbean,High income,1995,927000.0
Brunei Darussalam,BRN,East Asia & Pacific,High income,1995,498000.0
Bhutan,BTN,South Asia,Lower middle income,1995,4800.000191
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1995,636000.0
Central African Republic,CAF,Sub-Saharan Africa,Low income,1995,26000.0
Canada,CAN,North America,High income,1995,41657000.0
Switzerland,CHE,Europe & Central Asia,High income,1995,6946000.0
China,CHN,East Asia & Pacific,Upper middle income,1995,46387000.0
